id,title,description,source,suggested_label,human_label,notes
1,Typo correction in settings menu localization file (#131),The string asset for account_label contains a typo where 'account' is rendered as 'acount'. This needs to be polished in the next patch update.,Kimironko Shop System,LOW,LOW,Small spelling error found on the settings page.
2,File upload failing with unhandled 413 exception,"When clients upload files larger than 1MB on Chrome v114, the system crashes without error messages. This is blocking the compliance team onboarding loop.",Rubavu Agri Market,HIGH,HIGH,File upload button is broken. Users cannot add attachments.
3,Invoice microservice rounding error on calculation (#694),"Invoice #2938 shows a subtotal of $600 due to a tax configuration error, which contradicts the fixed $400 amount stated in our contract parameters.",Kigali Beauty Platform,MEDIUM,MEDIUM,Wrong bill total on the monthly client invoice.
4,Total payment gateway checkout freeze,The primary mobile money and card processing link has stopped working. Every live transaction is hanging indefinitely and failing.,Kimironko Shop System,CRITICAL,CRITICAL,Mobile money payment is failing but taking customer money.
5,color change request (#250),we want to alter some accent layouts on the main display page when you have extra sprint bandwidth.,Nyamirambo Retail App,LOW,LOW,Client wants to change a button color from green to blue.
6,Invoice microservice rounding error on calculation (#956),"Invoice #2938 shows a subtotal of $600 due to a tax configuration error, which contradicts the fixed $400 amount stated in our contract parameters.",Butare School Portal,MEDIUM,MEDIUM,Wrong bill total on the monthly client invoice.
7,SMTP relay server authentication failing (#275),The email dispatch queue is throwing credential errors on the /v1/send node. No activation links have left the platform since the morning update.,Rubavu Agri Market,HIGH,HIGH,New signup emails are not sending out today.
8,getting logged out constantly (#707),the system keeps forcing me back to the sign-in screen during active intervals.,Musanze Delivery App,MEDIUM,MEDIUM,The application logs users out way too fast.
9,Request to modify CSS color property on confirmation button,Please update the primary button class from background-color: #28a745 to #007bff to stay compliant with our internal brand guidebook.,Gisenyi Hotel Booking,LOW,LOW,Client wants to change a button color from green to blue.
10,hello site not working help (#669),the whole app is broken we click click nothing happens screen is white blank please help fast business stop,Kigali Beauty Platform,LOW,CRITICAL,The entire app is down. Customers cannot buy anything.
11,Invoice microservice rounding error on calculation,"Invoice #2938 shows a subtotal of $600 due to a tax configuration error, which contradicts the fixed $400 amount stated in our contract parameters.",Remera Tax Portal,MEDIUM,MEDIUM,Wrong bill total on the monthly client invoice.
12,app logout too quick,system log out every 5 minute when stop typing. very annoying to type long passwrd again again. make long time please,Rubavu Agri Market,MEDIUM,MEDIUM,The application logs users out way too fast.
13,app died,it just stopped working and shows a blank white screen since morning.,Kanombe Cargo System,CRITICAL,CRITICAL,The screen is frozen for everyone. Urgent fix needed.
14,login not open code error,everyone try to enter password but it say wrong token loop. nobody can do work today please fix now now,Gisenyi Hotel Booking,CRITICAL,CRITICAL,Nobody can log in to work. Big emergency.
15,Billing mismatch on monthly system invoice,"The automated invoicing system generated an incorrect total for this period, billing $600 instead of our baseline retainer of $400.",Butare School Portal,MEDIUM,MEDIUM,Wrong bill total on the monthly client invoice.
16,pdf download missing data,the exported file doesn't match what we see on our web dashboard layer.,Kanombe Cargo System,CRITICAL,MEDIUM,Text is missing when exporting reports to a paper file.
