id,title,description,source,suggested_label,human_label,notes
501,Automated transactional email notifications are stuck (#928),The background worker process is failing to dispatch registration confirmation emails. This is causing significant backlog for onboarding.,Kanombe Cargo System,HIGH,HIGH,New signup emails are not sending out today.
211,User Account Profile Information Missing,"When editing my user profile, I'm not seeing the custom field 'Company Name' that was added recently. This is blocking our workflow and preventing us from updating the info.",synthetic,MEDIUM,MEDIUM,
346,WRONG BILL AMOUNT AGAIN!!! (#544),OUR INVOICE SAYS 600 DOLLARS BUT OUR CONTRACT IS ONLY 400 DOLLARS PLEASE FIX THIS DISCREPANCY TODAY!!,Rubavu Agri Market,MEDIUM,MEDIUM,Wrong bill total on the monthly client invoice.
397,photo upload not work error (#469),we try to put photo or paper pdf file inside but it say fail. we need this today for daily job please repair soon,Rubavu Agri Market,HIGH,HIGH,File upload button is broken. Users cannot add attachments.
157,Session Timeout Issue After 15 Minutes,I'm getting logged out frequently while working on a task. This is very frustrating and causing delays in our workflow. Could you increase the session timeout period?,synthetic,MEDIUM,MEDIUM,
89,Email Notification Template,I think it'd be great if the email notification template could be customised a bit more,synthetic,LOW,LOW,
39,Ticket Search Returns Irrelevant Results,Searching tickets returns results that aren't related. Any way to refine the search function would be really helpful.,synthetic,LOW,MEDIUM,
82,Ticket Search Functionality Not Working as Expected,"The ticket search functionality is not working as expected, and it's taking too long to load results. Can you fix this?",synthetic,MEDIUM,LOW,
523,color change request (#370),we want to alter some accent layouts on the main display page when you have extra sprint bandwidth.,Kigali Beauty Platform,CRITICAL,LOW,Client wants to change a button color from green to blue.
252,invoice money wrong count (#221),hello bill we get today is wrong number. it say 600 but agreement is 400. please look and send true one,Nyamirambo Retail App,MEDIUM,MEDIUM,Wrong bill total on the monthly client invoice.
103,Subscription Billing Cycle Incorrect,"Our subscription billing cycle is not accurate, and it's causing us to get charged extra. Can you correct the billing cycle?",synthetic,MEDIUM,HIGH,
291,system failure (#555),the app is completely dead for all our office workers.,Nyamirambo Retail App,CRITICAL,CRITICAL,The entire app is down. Customers cannot buy anything.
358,invoice error,the price on the invoice sheet does not match our profile records.,Gitarama Pharmacy Web,CRITICAL,MEDIUM,Wrong bill total on the monthly client invoice.
425,WRONG BILL AMOUNT AGAIN!!! (#452),OUR INVOICE SAYS 600 DOLLARS BUT OUR CONTRACT IS ONLY 400 DOLLARS PLEASE FIX THIS DISCREPANCY TODAY!!,Kigali Beauty Platform,CRITICAL,MEDIUM,Wrong bill total on the monthly client invoice.
503,Critical system crash on payment module (#949),"Since the update at 3pm, users get a blank screen and 500 error when clicking pay. Affected domain: /api/checkout. Error code: GATEWAY_TIMEOUT. All users blocked.",Kimironko Shop System,CRITICAL,CRITICAL,Mobile money payment is failing but taking customer money.
460,DATA IS COMPLETELY GONE!!! (#255),I OPENED THE PAGE AND EVERY CLIENT RECORD IS DELETED WE ARE PANICKING FIX IT NOW NOW!!,Musanze Delivery App,HIGH,CRITICAL,All client records are missing from the screen. Team is stuck.
10,I HATE your new update!!!,I like the old UI better. Can you please revert back to the previous version?,synthetic-edge,LOW,LOW,
87,Incorrect User Permissions on Dashboard,"The user permissions displayed on the dashboard are incorrect, showing outdated or missing permissions. Please resolve this as soon as possible.",synthetic,MEDIUM,CRITICAL,
507,APP IS COMPLETELY DOWN NOW NOW!!! (#482),WE ARE LOSING EVERY SINGLE CUSTOMER MONEY IS FAILING SYSTEM IS FROZEN PLS FIX ASAP!!!!,Kanombe Cargo System,CRITICAL,CRITICAL,The entire app is down. Customers cannot buy anything.
114,Feature Request: Customizable Subscription Plans,It'd be super helpful if we could create custom subscription plans for our users. When that's a thing I'd love to set it up!,synthetic,LOW,LOW,
129,Backup job is taking an abnormally long time to complete,"Our backups are taking too long to complete, which is a significant risk to our data. Please assist us in resolving this issue ASAP.",synthetic,HIGH,HIGH,
471,Complete session database corruption after deploy (#465),"After the recent build pipeline finished, all users are kicked into a login loop. Token verification throws an unhandled null pointer error. Nobody can access dashboards.",Nyamirambo Retail App,CRITICAL,CRITICAL,Nobody can log in to work. Big emergency.
331,Inquiry regarding documentation assets for multi-tenant administration,We are setting up internal knowledge base articles and require the video walkthrough link for adding and configuring new corporate roles.,Nyamirambo Retail App,LOW,LOW,Customer needs a simple guide on how to add a worker.
320,Ransomware popup on live web server admin link (#464),Our live system admin page has been hijacked. It displays an external hacker alert demanding payment and all staff authentication tokens are rejected.,Kigali Beauty Platform,CRITICAL,CRITICAL,The main link is completely broken. Business is stopped.
506,text not inside printed report (#533),we add words on screen but when downlod pdf file that text is gone paper look empty. check when free,Rubavu Agri Market,MEDIUM,MEDIUM,Text is missing when exporting reports to a paper file.
207,Suggestion for Invoice PDF Footer Design,I think it'd be great if the footer on invoices had our company's address in it. Just a thought when convenient.,synthetic,LOW,LOW,
144,Confusing Label in Analytics Dashboard,The label on the analytics dashboard for 'New Users' could be clearer.,synthetic,LOW,LOW,
131,PII Data Exposure via API,We detected a vulnerability through our API that's exposing sensitive client data. Please address this now.,synthetic,CRITICAL,CRITICAL,
97,Password Reset Token Expiration,What's the current expiration time for password reset tokens? Just curious,synthetic,LOW,LOW,
251,app logout too quick (#265),system log out every 5 minute when stop typing. very annoying to type long passwrd again again. make long time please,Remera Tax Portal,HIGH,MEDIUM,The application logs users out way too fast.
334,color change request (#744),we want to alter some accent layouts on the main display page when you have extra sprint bandwidth.,Rubavu Agri Market,LOW,LOW,Client wants to change a button color from green to blue.
92,Third-party integration with Google Drive is throwing errors,"The integration with Google Drive is causing issues, resulting in lost productivity. We're counting on your prompt attention to this issue.",synthetic,HIGH,HIGH,
225,Minor Typo in Mobile App Settings,There's a small typo in the mobile app settings menu.,synthetic,LOW,LOW,
461,WHERE IS THE ONBOARDING MANUAL OR VIDEO?? (#144),WE HAVE INTERNS STARTING NEXT WEEK AND NEED A SIMPLE GUIDE TO SHOW THEM HOW TO USE THIS PLATFORM SEND IT!!,Kanombe Cargo System,LOW,LOW,Customer needs a simple guide on how to add a worker.
216,Font size mismatch in navigation menu.,"I really love your app, just noticed the font sizes don't match in the navigation menu. Can you please fix it? Thanks!",synthetic-edge,LOW,LOW,
