id,title,description,source,suggested_label,human_label,notes
227,"Export time outs for large accounts but data is preserved","Scheduled exports are taking too long for large customers and timing out, but I can still access the data manually.","synthetic-high-boundary",HIGH,,
228,"Invoice Generation Fails with Error Message","Our team is unable to generate invoices due to a recurring error message, which is causing us to miss payment deadlines. Please resolve this urgently.","synthetic-high",HIGH,,
229,"Invoice Generation Failing Due to 'Missing Data'","We are unable to generate invoices due to a 'Missing Data' error. Can you please investigate and provide a fix?","synthetic-high",HIGH,,
230,"CSV Export Failing with 'Invalid Data' Error","We need to export customer data for a marketing campaign. However, the CSV export is failing with a cryptic 'Invalid Data' error. Can you please assist us?","synthetic-high",HIGH,,
231,"Audit Logs Not Recording User Activity Correctly","Our audit logs are not recording user activity correctly, which is a severe security risk. Please correct this immediately.","synthetic-high",HIGH,,
232,"User Permissions Not Updating for New Roles","Our user permissions are not updating for new roles, which is causing confusion and frustration. Please resolve this ASAP.","synthetic-high",HIGH,,
233,"Ticket Search Returning Incomplete Results","Our agents are unable to find relevant tickets due to incomplete search results. This is wasting their time and affecting customer satisfaction. Please fix this ASAP.","synthetic-high",HIGH,,
234,"Authentication Failure: 'Unauthorized' Error Message","Our authentication system is failing with an 'Unauthorized' error message. Can you please investigate and provide a fix?","synthetic-high",HIGH,,
235,"Shared workspace partially inaccessible for multiple users","Several users can access our shared workspace, but others are experiencing intermittent issues and errors.","synthetic-high-boundary",HIGH,,
236,"Shared workspace partially inaccessible for team","One user can access our shared workspace, but others are experiencing intermittent issues and errors.","synthetic-high-boundary",HIGH,,
237,"Critical Security Issue with Unpatched Vulnerability","Our system has a known vulnerability that needs to be patched ASAP. We cannot afford to wait for this security issue to be resolved.","synthetic-high",HIGH,,
238,"Third-Party Integration with Stripe Not Processing Payments","Our Stripe integration is not processing payments, leaving us exposed to financial losses. We need this resolved immediately to avoid any damage to our business.","synthetic-high",HIGH,,
239,"Export data loss for a large account due to time out","Our scheduled export timed out for a large customer account, resulting in some data loss, but a manual export is possible.","synthetic-high-boundary",HIGH,,
240,"Invoice Template Not Downloading Properly","Our team is unable to download our invoice template, which is a critical business document. Please help us resolve this ASAP.","synthetic-high",HIGH,,
241,"Partial payment gateway outage for multiple users","Our payment gateway is experiencing issues for a large number of users, but some users can still complete checkout with reduced functionality.","synthetic-high-boundary",HIGH,,
